date,order_code,Face_Masks_Required_in_Public,Source_of_Action,Citation,COUNTYFP,confirmed_cases,index,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
2020-08-07,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,46990,1748,0.027,0.032,0.054,0.145,0.742
2020-08-08,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,47739,1748,0.027,0.032,0.054,0.145,0.742
2020-08-09,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,48466,1748,0.027,0.032,0.054,0.145,0.742
2020-08-10,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,49151,1748,0.027,0.032,0.054,0.145,0.742
2020-08-11,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,49646,1748,0.027,0.032,0.054,0.145,0.742
2020-08-12,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,50081,1748,0.027,0.032,0.054,0.145,0.742
2020-08-13,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,50569,1748,0.027,0.032,0.054,0.145,0.742
2020-08-14,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,51457,1748,0.027,0.032,0.054,0.145,0.742
2020-08-15,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,52239,1748,0.027,0.032,0.054,0.145,0.742
2020-08-16,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,52867,1748,0.027,0.032,0.054,0.145,0.742
2020-08-17,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,53458,1748,0.027,0.032,0.054,0.145,0.742
2020-08-18,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,54076,1748,0.027,0.032,0.054,0.145,0.742
2020-08-19,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,54353,1748,0.027,0.032,0.054,0.145,0.742
2020-08-20,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,54795,1748,0.027,0.032,0.054,0.145,0.742
2020-08-21,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,55521,1748,0.027,0.032,0.054,0.145,0.742
2020-08-22,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,56010,1748,0.027,0.032,0.054,0.145,0.742
2020-08-23,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,56464,1748,0.027,0.032,0.054,0.145,0.742
2020-08-24,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,56796,1748,0.027,0.032,0.054,0.145,0.742
2020-08-25,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,57131,1748,0.027,0.032,0.054,0.145,0.742
2020-08-26,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,57283,1748,0.027,0.032,0.054,0.145,0.742
2020-08-27,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,57756,1748,0.027,0.032,0.054,0.145,0.742
2020-08-28,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,58292,1748,0.027,0.032,0.054,0.145,0.742
